url,page_type,title,title_len,meta_desc_len,canonical,word_count,h2,media,schema_types,schema_issues,url_issues,style_issues,ok_title,ok_meta,ok_canonical,ok_content,ok_schema,ok_url,ok_style,score,notes
https://floodbarrierpros.com,homepage,"Florida Flood Protection Services | Flood Barrier Pros",54,148,https://floodbarrierpros.com/,396,4,0,"Organization,ContactPoint,Brand,WebSite,SearchAction,Place,PostalAddress,Person",,"unparseable URL",,1,1,1,1,1,0,1,90,"unparseable URL"
https://floodbarrierpros.com/,homepage,"Florida Flood Protection Services | Flood Barrier Pros",54,148,https://floodbarrierpros.com/,396,4,0,"Organization,ContactPoint,Brand,WebSite,SearchAction,Place,PostalAddress,Person",,,,1,1,1,0,1,1,1,70,"High similarity vs floodbarrierpros.com (J=1) || Content: 396 words, 4 H2s, 0 media"
https://floodbarrierpros.com/blog,generic,"Flood Protection Blog | Flood Barrier Pros",42,110,https://floodbarrierpros.com/blog,404,4,0,"BreadcrumbList,ListItem,WebSite,SearchAction,Place,PostalAddress,Person,Organization,ContactPoint,Brand",,,,1,1,1,1,1,1,1,100,
https://floodbarrierpros.com/blog/2025-01-15-flood-doors-miami,,,0,0,,0,0,0,,,,,0,0,0,0,0,0,0,0,"HTTP 404 "
https://floodbarrierpros.com/blog/2025-10-12-best-flood-barriers-2025,,,0,0,,0,0,0,,,,,0,0,0,0,0,0,0,0,"HTTP 404 "
https://floodbarrierpros.com/blog/2025-10-12-fema-approved-flood-barriers,,,0,0,,0,0,0,,,,,0,0,0,0,0,0,0,0,"HTTP 404 "
https://floodbarrierpros.com/blog/2025-10-12-portable-vs-permanent-flood-barriers,,,0,0,,0,0,0,,,,,0,0,0,0,0,0,0,0,"HTTP 404 "
https://floodbarrierpros.com/driveway-flood-barriers/tampa,service,"Driveway Flood Barriers Tampa, FL | Protection Systems | Flood Barrier Pros",75,148,https://floodbarrierpros.com/driveway-flood-barriers/tampa,942,4,0,"BreadcrumbList,ListItem,Product,AggregateOffer,Review,Person,Rating,AggregateRating,Organization,LocalBusiness,OfferCatalog,Offer,City,PriceSpecification,AdministrativeArea,PostalAddress,WebPage,WebSite,SearchAction,Place,ContactPoint,Brand",,,,,1,1,1,1,1,1,90,"Title 75 chars (want 30-60)"
https://floodbarrierpros.com/flood-barriers/houston,service,"Flood Barriers Houston, TX | Professional Installation | Flood Barrier Pros",75,138,https://floodbarrierpros.com/flood-barriers/houston,839,4,0,"BreadcrumbList,ListItem,Product,AggregateOffer,Review,Person,Rating,AggregateRating,Organization,LocalBusiness,OfferCatalog,Offer,City,PriceSpecification,AdministrativeArea,PostalAddress,WebPage,WebSite,SearchAction,Place,ContactPoint,Brand",,,,,1,1,0,1,1,1,60,"High similarity vs tampa (J=0.52) || Title 75 chars (want 30-60) || Content: 839 words, 4 H2s, 0 media"
https://floodbarrierpros.com/flood-barriers/phoenix,service,"Flood Barriers Phoenix, AZ | Professional Installation | Flood Barrier Pros",75,137,https://floodbarrierpros.com/flood-barriers/phoenix,840,4,0,"BreadcrumbList,ListItem,Product,AggregateOffer,Review,Person,Rating,AggregateRating,Organization,LocalBusiness,OfferCatalog,Offer,City,PriceSpecification,AdministrativeArea,PostalAddress,WebPage,WebSite,SearchAction,Place,ContactPoint,Brand",,,,,1,1,0,1,1,1,60,"High similarity vs tampa (J=0.49) || Title 75 chars (want 30-60) || Content: 840 words, 4 H2s, 0 media"
